Title,Author,Scores,Votes,avg_rating,ratings
"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,31736,318,4.76,480306
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,22089,224,4.62,4085071
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,16218,164,4.57,3426240
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,15658,159,4.57,762884
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,14312,146,4.64,3133917
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,11621,120,4.58,1032343
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,8877,92,4.57,479519
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,8842,91,4.71,1059634
The Nightingale,Kristin Hannah,7418,77,4.65,2051918
"Light Bringer (Red Rising Saga, #6)",Pierce Brown,5103,52,4.77,96700
Know My Name,Chanel Miller,4845,49,4.68,255083
The Complete Maus,Art Spiegelman,4644,49,4.58,252266
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,4307,45,4.58,438821
"The Will of the Many (Hierarchy, #1)",James  Islington,4137,43,4.59,182856
Just Mercy,Bryan Stevenson,3705,39,4.62,260145
"It's a Magical World (Calvin and Hobbes, #11)",Bill Watterson,3178,33,4.73,29118
"A Memory of Light (The Wheel of Time, #14)",Robert Jordan,2723,30,4.58,160840
Manacled,SenLinYu,2622,27,4.62,154277
The Sun Does Shine: How I Found Life and Freedom on Death Row,Anthony Ray Hinton,1846,20,4.65,80077
The Women,Kristin Hannah,1845,19,4.59,1507857
"The Trouble with Peace (The Age of Madness, #2)",Joe Abercrombie,1670,19,4.6,44201
"Moon Rising (Wings of Fire, #6)",Tui T. Sutherland,1667,19,4.57,33250
"Assassin's Fate (The Fitz and the Fool, #3)",Robin Hobb,1568,17,4.66,48148
"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,1414,15,4.62,43782
"Redeeming 6 (Boys of Tommen, #4)",Chloe Walsh,1392,15,4.64,221360
A Day in the Life of Marlon Bundo,Jill Twiss,1073,12,4.64,17816
チェンソーマン 9 [Chainsaw Man 9],Tatsuki Fujimoto,942,11,4.65,21353
"The Warden and the Wolf King (The Wingfeather Saga, #4)",Andrew       Peterson,938,10,4.74,17667
"March: Book Three (March, #3)",John             Lewis,844,9,4.64,21587
"One Piece, Volume 38: Rocketman!!",Eiichiro Oda,817,9,4.64,16575
When Stars Are Scattered,Victoria Jamieson,726,9,4.6,32308
"Darkstalker (Wings of Fire: Legends, #1)",Tui T. Sutherland,721,8,4.59,21377
A Heart That Works,Rob Delaney,709,9,4.62,33663
"The Sandman, Vol. 9: The Kindly Ones",Neil Gaiman,693,9,4.58,52460
"The Empty Grave (Lockwood & Co., #5)",Jonathan Stroud,610,8,4.62,29102
"Some Kind of Perfect (Calloway Sisters, #5)",Krista Ritchie,599,7,4.6,31441
"Wintersteel (Cradle, #8)",Will Wight,578,6,4.68,31751
"பொன்னியின் செல்வன், முழுத்தொகுப்பு",Kalki Krishnamurthy,575,6,4.7,10768
"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey,571,8,4.57,80792
"An Echo in the Darkness (Mark of the Lion, #2)",Francine  Rivers,487,6,4.64,63151
約束のネバーランド 4 [Yakusoku no Neverland 4],Kaiu Shirai,485,7,4.6,16650
"Iron Prince (Warformed: Stormweaver, #1)",Bryce O'Connor,481,6,4.57,18003
"Sin & Surrender (Demigods of San Francisco, #6)",K.F. Breene,458,5,4.65,17746
